split,dataset,query_id,group,depth,initial_f1,pre_f1,post_f1,observed_delta,resolved_count,unresolved_count,resolved_fraction,evidence_support_count,support_per_resolved,answer_token_count,answer_char_count,reasoning_progress_token_count,reasoning_progress_char_count,next_information_need_token_count,next_search_query_token_count,cot_step_count,cot_token_count,passage_count,unique_passage_ratio,unique_title_ratio,evidence_vocab_size,retrieval_score_mean,retrieval_score_max,retrieval_score_std,question_query_jaccard,question_answer_jaccard,answer_evidence_jaccard,query_evidence_jaccard,progress_evidence_jaccard,need_evidence_jaccard,support_evidence_jaccard,answer_support_jaccard,unresolved_query_jaccard,resolved_evidence_jaccard,unresolved_evidence_jaccard,mu,v_hat,dynamic_benefit,adaptive_score,historical_native_u,historical_raser,historical_benefit,historical_direct_gain_et,historical_idr,provider_tokens,latency_ms
independent-evaluation,2wiki,03e373e7098211ebbdb0ac1f6bf848b6,2wiki::03e373e7098211ebbdb0ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,15.0,113.0,17.0,5.0,1.0,15.0,6.0,1.0,1.0,119.0,32.739908166666666,44.11007,6.678113619354207,0.13333333333333333,0.0,0.0,0.03333333333333333,0.072,0.0625,0.09836065573770492,0.0,0.0,0.06722689075630252,0.0,0.15256666666666666,-0.5157731165347864,0.0031111808359707525,0.41786178946495056,-1088.0,-1697.0,-1566.0,-491.0,-1759.0,1921.0,13621.24560000666
independent-evaluation,2wiki,03e373e7098211ebbdb0ac1f6bf848b6,2wiki::03e373e7098211ebbdb0ac1f6bf848b6,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,21.0,154.0,13.0,7.0,2.0,23.0,11.0,1.0,1.0,256.0,28.439129,44.11007,6.890714641193058,0.1875,0.0,0.0,0.01937984496124031,0.045283018867924525,0.022813688212927757,0.046511627906976744,0.0,0.0,0.0311284046692607,0.0,0.013661111111111107,-0.3408700847142162,0.0,0.10247226804494858,-1088.0,-1697.0,-1566.0,-491.0,-1759.0,2516.0,14169.162099999085
independent-evaluation,2wiki,049a9c74090511ebbdadac1f6bf848b6,2wiki::049a9c74090511ebbdadac1f6bf848b6,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,4.0,28.0,41.0,577.0,19.0,6.0,1.0,41.0,6.0,1.0,1.0,154.0,46.32439316666667,57.177345,7.581110023221786,0.25,0.18181818181818182,0.025974025974025976,0.03225806451612903,0.12716763005780346,0.06790123456790123,0.2611464968152866,0.09090909090909091,0.0,0.08917197452229299,0.0,0.15256666666666666,0.016309634676397178,0.10528781298878122,0.5225221514701843,-1554.0,-1107.0,-1533.0,-1550.0,-1438.0,1456.0,14225.558899990574
independent-evaluation,2wiki,049a9c74090511ebbdadac1f6bf848b6,2wiki::049a9c74090511ebbdadac1f6bf848b6,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,17.0,20.0,173.0,12.0,7.0,2.0,44.0,7.0,1.0,1.0,159.0,44.41839242857143,57.177345,8.429697548185445,0.14285714285714285,0.2222222222222222,0.012578616352201259,0.024691358024691357,0.0783132530120482,0.03636363636363636,0.20496894409937888,0.05714285714285714,0.0,0.07547169811320754,0.0,0.013661111111111107,-0.02943776740410913,0.009875374613101283,0.03571661189198494,-1554.0,-1107.0,-1533.0,-1550.0,-1438.0,2136.0,15397.391400001652
independent-evaluation,2wiki,0514444808ce11ebbd94ac1f6bf848b6,2wiki::0514444808ce11ebbd94ac1f6bf848b6,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.4,2.0,1.0,3.0,15.0,18.0,125.0,10.0,4.0,1.0,18.0,6.0,1.0,0.6666666666666666,201.0,29.071042333333335,35.33587,2.981105755864294,0.0,0.2727272727272727,0.014925373134328358,0.009852216748768473,0.04285714285714286,0.03431372549019608,0.05392156862745098,0.21428571428571427,0.25,0.04950495049504951,0.04830917874396135,0.15256666666666666,-0.21632482880079737,0.10007198036864115,0.4992402493953705,-1106.0,-547.0,-83.0,-126.0,-722.0,2107.0,31527.717299999495
independent-evaluation,2wiki,0514444808ce11ebbd94ac1f6bf848b6,2wiki::0514444808ce11ebbd94ac1f6bf848b6,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.4,3.0,1.5,3.0,15.0,38.0,384.0,18.0,4.0,2.0,48.0,11.0,1.0,0.8181818181818182,252.0,29.593432818181817,47.757347,6.363155705491345,0.0,0.2727272727272727,0.011904761904761904,0.007874015748031496,0.0661764705882353,0.046511627906976744,0.18823529411764706,0.058823529411764705,0.23529411764705882,0.039525691699604744,0.03861003861003861,0.013661111111111107,-0.004642241145139201,0.0632586319768982,0.10185137391090393,-1106.0,-547.0,-83.0,-126.0,-722.0,3544.0,22854.536500002723
independent-evaluation,2wiki,052f97f20bda11eba7f7acde48001122,2wiki::052f97f20bda11eba7f7acde48001122,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,7.0,18.0,127.0,8.0,2.0,1.0,18.0,6.0,1.0,1.0,126.0,33.267708166666665,74.53437,18.626687043035336,0.0,0.0,0.0,0.007874015748031496,0.06666666666666667,0.007518796992481203,0.2283464566929134,0.0,0.3333333333333333,0.10236220472440945,0.023255813953488372,0.15256666666666666,0.6091505877603389,0.774293673294565,0.7962265014648438,-183.0,-126.0,-594.0,-1192.0,-346.0,2046.0,21294.54650000116
independent-evaluation,2wiki,052f97f20bda11eba7f7acde48001122,2wiki::052f97f20bda11eba7f7acde48001122,2.0,0.0,1.0,0.5,-0.5,1.0,1.0,0.5,2.0,2.0,1.0,8.0,30.0,251.0,14.0,3.0,2.0,38.0,12.0,1.0,1.0,312.0,28.244132916666665,74.53437,14.706265361258803,0.0,0.0,0.003205128205128205,0.009615384615384616,0.052307692307692305,0.025157232704402517,0.0,0.0,0.4,0.022364217252396165,0.009584664536741214,0.013661111111111107,-0.013598646347632418,0.08073991361972342,0.4319676458835602,-183.0,-126.0,-594.0,-1192.0,-346.0,2128.0,16630.53879999643
independent-evaluation,2wiki,057bed9a0bdb11eba7f7acde48001122,2wiki::057bed9a0bdb11eba7f7acde48001122,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.5,1.0,7.0,27.0,225.0,7.0,3.0,1.0,27.0,6.0,1.0,1.0,120.0,28.931925833333334,53.35474,10.951480967107695,0.09090909090909091,0.0,0.008333333333333333,0.01652892561983471,0.10526315789473684,0.024193548387096774,0.05785123966942149,0.0,0.0,0.03225806451612903,0.0,0.15256666666666666,-0.01632540871249739,0.012781929088651778,0.6623717546463013,-1503.0,-1126.0,-729.0,-701.0,-1329.0,1837.0,24943.493899991154
independent-evaluation,2wiki,057bed9a0bdb11eba7f7acde48001122,2wiki::057bed9a0bdb11eba7f7acde48001122,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.5,1.0,7.0,33.0,255.0,22.0,7.0,2.0,41.0,12.0,1.0,0.8333333333333334,233.0,27.468093416666665,53.35474,8.812439374158956,0.3333333333333333,0.0,0.004291845493562232,0.02564102564102564,0.064,0.058091286307053944,0.07627118644067797,0.047619047619047616,0.0,0.029661016949152543,0.0,0.013661111111111107,-0.0020435290492152413,0.002188599326370224,0.21472078561782837,-1503.0,-1126.0,-729.0,-701.0,-1329.0,2108.0,24111.072399995464
independent-evaluation,2wiki,05ff8d7108a811ebbd7fac1f6bf848b6,2wiki::05ff8d7108a811ebbd7fac1f6bf848b6,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.6666666666666666,2.0,1.0,1.0,10.0,35.0,282.0,17.0,5.0,1.0,35.0,6.0,1.0,0.8333333333333334,137.0,27.265290166666666,35.382957,5.008842159846172,0.0,0.1111111111111111,0.0072992700729927005,0.02158273381294964,0.15436241610738255,0.06944444444444445,0.1366906474820144,0.047619047619047616,0.25,0.027777777777777776,0.07801418439716312,0.15256666666666666,0.05577614762393727,0.20155811270649862,0.6059612035751343,-1333.0,-1100.0,-47.0,-296.0,-1073.0,1890.0,20252.566600000137
independent-evaluation,2wiki,05ff8d7108a811ebbd7fac1f6bf848b6,2wiki::05ff8d7108a811ebbd7fac1f6bf848b6,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.75,3.0,1.0,1.0,6.0,37.0,343.0,20.0,4.0,2.0,53.0,11.0,1.0,0.8181818181818182,189.0,33.34353654545455,57.470467,12.109194138675509,0.0,0.1111111111111111,0.005291005291005291,0.010471204188481676,0.10784313725490197,0.08290155440414508,0.16666666666666666,0.02857142857142857,0.6666666666666666,0.05699481865284974,0.015625,0.013661111111111107,0.04104229066537666,0.06833497154303837,0.10830656439065933,-1333.0,-1100.0,-47.0,-296.0,-1073.0,2661.0,23745.324799994705
independent-evaluation,2wiki,06006787089411ebbd75ac1f6bf848b6,2wiki::06006787089411ebbd75ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,3.0,27.0,43.0,342.0,12.0,7.0,1.0,43.0,6.0,1.0,1.0,244.0,37.02815,53.641487,10.456410409374193,0.13333333333333333,0.3,0.012295081967213115,0.02032520325203252,0.0749063670411985,0.028112449799196786,0.044897959183673466,0.25,0.36363636363636365,0.024390243902439025,0.016129032258064516,0.15256666666666666,0.11554805055602552,0.26353284842284996,0.43774330615997314,-1758.0,-1386.0,-1669.0,-1781.0,-1678.0,1875.0,28631.332299999485
independent-evaluation,2wiki,06006787089411ebbd75ac1f6bf848b6,2wiki::06006787089411ebbd75ac1f6bf848b6,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,2.0,3.0,27.0,45.0,365.0,22.0,7.0,2.0,64.0,9.0,1.0,1.0,285.0,33.706220333333334,53.641487,9.748782946402843,0.13333333333333333,0.3,0.010526315789473684,0.02456140350877193,0.0749185667752443,0.04778156996587031,0.06968641114982578,0.13636363636363635,0.4117647058823529,0.02456140350877193,0.03424657534246575,0.013661111111111107,0.026551825151006347,0.0752370841681314,0.09131284803152084,-1758.0,-1386.0,-1669.0,-1781.0,-1678.0,1943.0,19294.588500008103
independent-evaluation,2wiki,075a7e600bdb11eba7f7acde48001122,2wiki::075a7e600bdb11eba7f7acde48001122,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,7.0,19.0,178.0,17.0,5.0,1.0,19.0,6.0,1.0,0.8333333333333334,90.0,52.78019183333333,88.301476,20.541017488879927,0.4,0.0,0.011111111111111112,0.04395604395604396,0.11224489795918367,0.08080808080808081,0.5108695652173914,0.02040816326530612,0.0,0.09782608695652174,0.0,0.15256666666666666,-0.028745274310558473,0.045355151585845944,0.7120022177696228,-1748.0,-1513.0,-1454.0,-1199.0,-1592.0,1440.0,27467.275499999232
independent-evaluation,2wiki,075a7e600bdb11eba7f7acde48001122,2wiki::075a7e600bdb11eba7f7acde48001122,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,7.0,26.0,247.0,19.0,7.0,2.0,27.0,9.0,1.0,0.8888888888888888,111.0,45.062840666666666,88.301476,20.190392987982793,0.3333333333333333,0.0,0.009009009009009009,0.04424778761061947,0.10483870967741936,0.08333333333333333,0.0,0.0,0.0,0.06956521739130435,0.0,0.013661111111111107,-0.008715814559660206,0.007572902698068555,0.2185940444469452,-1748.0,-1513.0,-1454.0,-1199.0,-1592.0,1528.0,15608.343700005207
independent-evaluation,2wiki,0828f20408d411ebbd96ac1f6bf848b6,2wiki::0828f20408d411ebbd96ac1f6bf848b6,1.0,1.0,1.0,0.25,-0.75,1.0,1.0,0.5,2.0,2.0,1.0,2.0,25.0,194.0,7.0,5.0,1.0,25.0,6.0,1.0,0.8333333333333334,269.0,57.88455166666667,68.4733,4.982081169573267,0.23076923076923078,0.0,0.0,0.014814814814814815,0.0425531914893617,0.014705882352941176,0.0,0.0,0.5,0.01858736059479554,0.007380073800738007,0.15256666666666666,0.3604427082689663,0.577013681826552,0.4674375355243683,-1451.0,-1537.0,-1210.0,-521.0,-1780.0,3419.0,20951.535300002433
independent-evaluation,2wiki,0828f20408d411ebbd96ac1f6bf848b6,2wiki::0828f20408d411ebbd96ac1f6bf848b6,2.0,1.0,0.25,0.25,0.0,2.0,1.0,0.6666666666666666,2.0,1.0,8.0,42.0,29.0,251.0,14.0,7.0,2.0,41.0,11.0,1.0,0.9090909090909091,450.0,41.72168263636364,68.4733,18.089331120219175,0.2,0.35714285714285715,0.01327433628318584,0.008830022075055188,0.023504273504273504,0.013100436681222707,0.019823788546255508,0.0,0.17647058823529413,0.022172949002217297,0.004338394793926247,0.013661111111111107,0.024060487996241865,0.1674579918363789,0.0747036561369896,-1451.0,-1537.0,-1210.0,-521.0,-1780.0,4193.0,26187.836599994625
independent-evaluation,2wiki,085f772608c411ebbd8eac1f6bf848b6,2wiki::085f772608c411ebbd8eac1f6bf848b6,1.0,1.0,1.0,0.25,-0.75,2.0,0.0,1.0,2.0,1.0,1.0,2.0,13.0,106.0,19.0,4.0,1.0,13.0,6.0,1.0,1.0,115.0,30.221475666666667,39.346264,4.763969612800815,0.2727272727272727,0.0,0.0,0.02586206896551724,0.06666666666666667,0.06349206349206349,0.19658119658119658,0.0,0.0,0.05084745762711865,0.0,0.15256666666666666,-0.5200315260822721,0.0070910752032379626,0.47134262323379517,-1433.0,-1771.0,-1501.0,-683.0,-1717.0,1447.0,17782.60199999204
independent-evaluation,2wiki,085f772608c411ebbd8eac1f6bf848b6,2wiki::085f772608c411ebbd8eac1f6bf848b6,2.0,1.0,0.25,0.25,0.0,2.0,0.0,1.0,2.0,1.0,8.0,42.0,13.0,111.0,13.0,7.0,2.0,15.0,9.0,1.0,1.0,250.0,28.411791333333333,39.346264,4.67917780346018,0.21428571428571427,0.38461538461538464,0.0078125,0.00784313725490196,0.03137254901960784,0.011538461538461539,0.047619047619047616,0.0,0.0,0.027888446215139442,0.0,0.013661111111111107,0.004643692002738167,0.0944090318198831,0.08162391185760498,-1433.0,-1771.0,-1501.0,-683.0,-1717.0,2010.0,16077.107599994633
independent-evaluation,2wiki,09c5244e0bda11eba7f7acde48001122,2wiki::09c5244e0bda11eba7f7acde48001122,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,7.0,20.0,163.0,5.0,5.0,1.0,20.0,6.0,1.0,0.8333333333333334,120.0,36.313681,56.296227,14.161839819407822,0.23076923076923078,0.0,0.0,0.041666666666666664,0.09375,0.041666666666666664,0.22131147540983606,0.0,1.0,0.08333333333333333,0.041666666666666664,0.15256666666666666,0.8644083636690983,0.8790391484086127,0.8681623339653015,-124.0,-52.0,-367.0,-437.0,-545.0,2372.0,24634.41249999596
independent-evaluation,2wiki,09c5244e0bda11eba7f7acde48001122,2wiki::09c5244e0bda11eba7f7acde48001122,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,16.0,29.0,246.0,14.0,7.0,2.0,34.0,12.0,1.0,0.8333333333333334,327.0,32.5660825,56.296227,11.975870922717226,0.125,0.0,0.009174311926605505,0.021406727828746176,0.05637982195845697,0.024024024024024024,0.270516717325228,0.03296703296703297,0.0,0.03343465045592705,0.0,0.013661111111111107,-0.003284962627357837,0.001295712224283653,0.3697855770587921,-124.0,-52.0,-367.0,-437.0,-545.0,2495.0,12907.548499999393
independent-evaluation,2wiki,09d1a82e08a111ebbd78ac1f6bf848b6,2wiki::09d1a82e08a111ebbd78ac1f6bf848b6,1.0,1.0,1.0,0.75,-0.25,1.0,1.0,0.5,2.0,2.0,2.0,16.0,35.0,285.0,20.0,9.0,1.0,35.0,6.0,1.0,1.0,84.0,37.8513715,51.763874,7.537455510225091,0.2,0.2222222222222222,0.023809523809523808,0.06896551724137931,0.1553398058252427,0.10638297872340426,0.3023255813953488,0.07142857142857142,0.05555555555555555,0.14942528735632185,0.010752688172043012,0.15256666666666666,0.027563260212637216,0.17195139926906874,0.344815731048584,-209.0,-264.0,-987.0,-1774.0,-425.0,1299.0,15009.422699993593
